	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
COG5	3066	3139	2978	4791	2529	3356
COG6	3451	3440	3086	3728	1636	2719
COG7	331	306	234	353	201	321
COG8	42	52	42	80	28	48
COIL	1549	1425	1248	2198	1308	1450
COL11A1	1201	1323	1063	2779	1148	1860
COL12A1	75	43	57	56	22	83
COL17A1	31	37	40	209	119	151
COL18A1	100	98	49	137	87	97
COL19A1	67	65	54	56	18	72
COL1A1	115	229	87	1671	724	499
COL21A1	2524	2222	1705	827	480	1018
COL22A1	89	51	71	72	56	41
COL25A1	32	26	9	101	35	9
COL27A1	122	162	102	150	55	168
COL2A1	65	63	41	28	32	47
COL4A1	119	156	88	753	356	323
COL4A2	19	26	22	82	51	36
COL4A3	368	357	278	216	112	236
COL4A3BP	488	506	434	506	302	493
COL4A4	177	130	129	164	86	166
COL4A5	4872	4405	3379	6293	2943	4363
COL4A6	1345	1362	1133	2305	1288	1496
COL5A1	57	83	53	178	106	99
COL5A2	96	76	58	381	178	135
COL6A1	104	115	68	195	102	81
COL6A6	58	52	39	52	13	62
COL8A1	11	25	15	291	181	96
COL8A2	53	42	39	23	23	41
COL9A1	40	50	38	38	16	49
COLEC12	550	585	497	345	198	323
COLGALT1	115	164	144	221	119	208
COLGALT2	496	475	506	621	398	447
COLQ	527	374	332	180	113	198
COMMD1	1239	1049	884	1790	1060	1291
COMMD10	4127	3928	3903	6731	3337	4284
COMMD2	7491	6116	6728	10389	5977	7994
COMMD3	709	723	695	1110	631	803
COMMD4	55	46	50	97	70	71
COMMD5	45	53	37	47	32	36
COMMD6	3146	3175	2845	4064	2251	2741
COMMD7	199	216	179	287	180	209
COMMD8	2191	1825	1661	2819	1505	2152
COMMD9	1957	1660	1599	2725	1684	1766
COPA	11998	14251	11939	18768	11293	14969
COPB1	13144	12075	11369	20600	10254	14867
COPB2	18107	19111	17703	27269	16354	21041
COPG1	3937	4506	3722	5266	3339	4845
COPG2	1017	1031	833	1527	703	1135
COPG2IT1	2044	1572	1264	2329	698	1626
COPRS	104	82	69	79	54	44
COPS2	5802	5598	5061	8216	3727	5944
